"Tipo","Codice CdL","Valore Indicatore"
"Ciclo Unico","5027",19
"Ciclo Unico","5029",61
"Ciclo Unico","5080",105
"Ciclo Unico","5074",113
"Ciclo Unico","5079",165
"Ciclo Unico","0995",183
"Ciclo Unico","5026",235
